epoch,loss,mean_absolute_percentage_error,val_loss,val_mean_absolute_percentage_error
0,0.03298572927713394,36.247684478759766,-0.30558013916015625,23.547626495361328
1,-0.6666433846950531,18.750707626342773,-0.5640260283763592,20.204801559448242
2,-0.9218325114250183,14.534717559814453,-0.2776480473004855,22.115114212036133
3,-0.7806647515296936,16.642824172973633,-0.8633209980451144,16.043516159057617
4,-1.1995720529556275,11.560905456542969,-0.6024050785945012,15.563294410705566
5,-1.2181194448471069,11.491732597351074,-0.9908718535533318,12.861166954040527
6,-1.1512890427093954,12.907835960388184,-0.7471041807761559,14.106009483337402
7,-1.2265859317779542,10.64693546295166,-0.37819249584124637,16.646413803100586
8,-1.2329737174510955,10.9839506149292,-0.8631341420687162,14.022770881652832
9,-1.5334267616271973,8.524312973022461,-0.6811072166149433,12.494784355163574
